player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Harry Maguire,DF,England,29-281,1993,4.8,445,28,204,224,20,13,445,2,2,100.0,0,0,344,2
Harry Souttar,DF,Australia,24-050,1998,4.0,213,37,143,68,4,2,213,0,0,,1,0,128,0
Harry Wilson,MF,Wales,25-264,1997,1.8,81,5,21,35,25,1,81,0,1,0.0,3,0,48,5
Hassan Al Tambakti,DF,Saudi Arabia,23-305,1999,2.0,75,17,43,31,2,2,75,0,0,,0,0,34,0
Hassan Al-Haydos,MF,Qatar,32-000,1990,2.3,101,1,25,52,27,0,101,2,6,33.3,6,3,72,7
Hattan Bahebri,MF,Saudi Arabia,30-148,1992,0.0,7,2,2,3,2,1,7,0,0,,0,0,6,1
Henry Martín,FW,Mexico,30-023,1992,1.6,35,1,2,16,17,10,35,1,1,100.0,5,2,28,5
Hernán Galíndez,GK,Ecuador,35-256,1987,3.0,77,63,77,0,0,0,77,0,0,,0,0,29,0
Hidemasa Morita,MF,Japan,27-215,1995,3.2,192,11,44,116,33,3,192,0,3,0.0,4,5,128,2
Hiroki Ito,DF,Japan,23-213,1999,0.5,64,0,9,48,7,0,64,0,0,,0,0,51,1
Hiroki Sakai,MF,Japan,32-243,1990,1.3,70,8,33,22,15,2,70,0,2,0.0,1,1,26,1
Hirving Lozano,FW,Mexico,27-134,1995,2.8,109,0,8,35,69,7,109,5,10,50.0,10,4,76,20
Homam Ahmed,DF,Qatar,23-108,1999,2.9,115,3,27,56,33,1,115,3,5,60.0,4,2,67,6
Hong Chul,DF,Korea Republic,32-085,1990,0.5,24,2,6,9,9,0,24,0,1,0.0,0,0,15,2
Hossein Hosseini,GK,IR Iran,30-164,1992,1.8,49,44,49,0,0,0,49,0,0,,0,0,16,0
Hossein Kanaanizadegan,DF,IR Iran,28-263,1994,0.5,15,2,10,5,0,0,15,0,0,,0,0,7,0
Hugo Lloris,GK,France,35-350,1986,4.0,124,111,123,1,0,0,124,0,0,,0,0,49,0
Hwang Hee-chan,MF,Korea Republic,26-319,1996,1.3,84,0,12,22,51,6,84,3,10,30.0,5,3,66,6
Hwang In-beom,MF,Korea Republic,26-082,1996,3.7,276,1,44,157,76,0,276,0,5,0.0,4,0,201,5
Hwang Ui-jo,FW,Korea Republic,30-105,1992,1.2,18,1,2,6,11,2,18,1,1,100.0,2,0,11,2
Héctor Herrera,MF,Mexico,32-236,1990,1.8,91,2,11,62,19,1,91,0,1,0.0,2,1,54,4
Héctor Moreno,DF,Mexico,34-328,1988,3.0,210,12,73,133,6,4,210,0,0,,2,1,150,0
Ibrahima Konaté,DF,France,23-200,1999,2.2,214,15,84,129,4,2,214,0,0,,3,1,163,0
Idrissa Gana Gueye,MF,Senegal,33-076,1989,3.0,155,7,25,71,60,4,155,1,2,50.0,2,5,97,9
Iliman Ndiaye,FW,Senegal,22-280,2000,1.5,44,0,1,20,25,4,44,6,8,75.0,1,3,29,9
Ismail Jakobs,DF,Senegal,23-116,1999,3.1,184,7,61,78,45,0,184,0,1,0.0,2,1,85,2
Ismail Mohamad,FW,Qatar,32-250,1990,1.9,,,,,,,,,,,,,,
Ismaila Sarr,FW,Senegal,24-289,1998,3.8,133,3,14,43,78,20,132,9,19,47.4,12,5,97,14
Ismaël Koné,MF,Canada,20-188,2002,1.2,103,1,15,77,11,0,103,1,2,50.0,0,0,92,2
Issam Jebali,FW,Tunisia,30-351,1991,2.0,60,3,9,27,27,10,60,1,2,50.0,8,7,40,10
Ivan Ilić,MF,Serbia,21-269,2001,0.4,23,0,6,13,4,0,23,0,0,,1,1,16,1
Ivan Perišić,FW,Croatia,33-312,1989,5.4,255,8,41,88,130,30,255,3,10,30.0,16,4,172,30
Iñaki Williams,FW,Ghana,28-179,1994,3.0,63,3,10,24,30,6,63,1,1,100.0,5,5,42,6
Jack Grealish,FW,England,27-092,1995,1.0,71,2,12,34,26,5,71,3,9,33.3,1,0,61,4
Jackson Irvine,MF,Australia,29-279,1993,3.9,170,9,39,98,33,3,170,0,2,0.0,5,6,97,4
Jackson Porozo,DF,Ecuador,22-129,2000,1.1,58,2,26,30,2,1,58,0,0,,0,2,32,0
Jakub Kamiński,MF,Poland,20-189,2002,2.6,88,5,15,36,41,7,88,2,5,40.0,4,6,48,4
Jakub Kiwior,DF,Poland,22-299,2000,3.9,236,31,140,93,3,2,236,0,0,,2,1,165,0
Jamal Musiala,MF,Germany,19-288,2003,2.9,163,1,13,53,101,28,163,19,36,52.8,11,16,126,29
Jamie Maclaren,FW,Australia,29-135,1993,0.6,15,0,0,5,10,3,15,0,0,,0,1,13,4
Jan Bednarek,DF,Poland,26-243,1996,0.1,6,0,1,5,0,0,6,0,0,,0,0,3,0
Jan Vertonghen,DF,Belgium,35-231,1987,3.0,290,36,169,116,5,4,290,0,0,,0,0,234,0
Jason Cummings,FW,Australia,27-132,1995,0.4,9,0,0,8,1,0,9,0,1,0.0,0,0,4,1
Jawad El Yamiq,DF,Morocco,30-285,1992,1.7,61,17,51,9,1,1,61,0,0,,0,0,16,0
Jean-Charles Castelletto,DF,Cameroon,27-319,1995,2.0,109,21,59,44,6,2,109,1,1,100.0,1,0,61,0
Jeong Woo-yeong,MF,Korea Republic,23-082,1999,0.5,20,1,1,5,14,2,20,0,1,0.0,1,0,14,4
Jeremy Doku,MF,Belgium,20-198,2002,0.2,16,0,1,7,9,2,16,2,4,50.0,1,0,14,0
Jeremy Sarmiento,MF,Ecuador,20-178,2002,0.9,44,0,2,20,25,2,44,2,6,33.3,2,1,27,3
Jerome Ngom Mbekeli,MF,Cameroon,24-072,1998,0.1,4,1,1,0,3,0,4,0,0,,1,1,4,1
Jesper Lindstrøm,MF,Denmark,22-285,2000,2.2,81,2,8,25,50,7,81,4,12,33.3,8,1,57,11
Jesús Ferreira,FW,United States,21-352,2000,0.5,24,0,2,9,13,1,24,0,1,0.0,0,1,19,2
Jesús Gallardo,DF,Mexico,28-118,1994,3.0,167,7,55,76,37,3,167,3,4,75.0,5,0,76,8
Jewison Bennette,MF,Costa Rica,18-179,2004,1.1,29,1,7,9,13,2,29,1,4,25.0,5,1,22,7
Jhegson Méndez,MF,Ecuador,25-229,1997,2.0,150,2,63,83,5,1,150,0,1,0.0,2,1,114,1
Joachim Andersen,DF,Denmark,26-194,1996,3.0,281,20,99,165,17,4,281,0,1,0.0,1,1,197,0
Joakim Mæhle,DF,Denmark,25-205,1997,2.8,185,6,49,69,68,3,185,0,9,0.0,3,2,111,16
Joe Allen,MF,Wales,32-272,1990,1.0,51,4,17,28,7,0,51,0,0,,5,0,27,1
Joe Morrell,MF,Wales,25-342,1997,0.4,24,2,6,16,2,0,24,0,0,,0,1,10,0
Joe Rodon,DF,Wales,25-050,1997,3.0,192,27,122,68,2,1,192,0,0,,0,0,134,0
Joel Campbell,FW,Costa Rica,30-168,1992,3.0,179,1,20,118,45,1,179,6,13,46.2,10,8,129,9
Johan Venegas,FW,Costa Rica,34-014,1988,0.8,21,1,4,9,8,1,21,0,1,0.0,2,0,14,3
John Stones,DF,England,28-197,1994,4.8,475,27,209,257,12,5,475,2,2,100.0,1,0,403,0
Jonas Hofmann,FW,Germany,30-150,1992,0.3,24,0,1,11,12,2,24,0,1,0.0,0,2,18,1
Jonathan David,FW,Canada,22-331,2000,2.1,84,1,7,46,31,11,84,0,4,0.0,8,2,58,16
Jonathan Osorio,MF,Canada,30-182,1992,1.3,68,0,10,44,14,2,68,1,2,50.0,2,2,53,2
Jordan Ayew,FW,Ghana,31-091,1991,1.5,68,1,10,34,26,0,68,1,7,14.3,5,4,42,6
Jordan Henderson,MF,England,32-177,1990,3.0,179,1,19,100,61,5,179,0,2,0.0,1,1,144,8
Jordan Morris,FW,United States,28-046,1994,0.0,5,0,0,1,4,2,5,0,0,,0,0,3,1
Jordan Pickford,GK,England,28-279,1994,5.0,169,128,169,0,0,0,169,0,0,,0,0,100,0
Jordan Veretout,MF,France,29-285,1993,0.7,43,2,11,25,7,1,43,0,0,,2,1,32,1
Jordi Alba,DF,Spain,33-265,1989,2.9,392,4,62,223,109,1,392,2,3,66.7,4,0,305,11
Jorge Eduardo Sánchez,DF,Mexico,25-001,1997,1.9,113,6,32,48,34,4,113,1,4,25.0,4,4,54,9
Josh Sargent,FW,United States,22-294,2000,1.7,48,0,4,18,26,5,48,2,2,100.0,5,4,35,14
Joshua Kimmich,MF,Germany,27-306,1995,3.0,301,9,53,165,83,4,301,1,4,25.0,3,3,207,11
Josip Juranović,DF,Croatia,27-117,1995,5.7,383,30,99,193,96,3,383,1,4,25.0,6,4,243,18
José Cifuentes,MF,Ecuador,23-274,1999,0.7,52,1,7,37,8,0,52,0,0,,4,1,40,2
José María Giménez,DF,Uruguay,27-325,1995,3.0,213,26,96,108,9,4,213,0,0,,2,1,134,2
João Cancelo,DF,Portugal,28-198,1994,3.4,311,8,74,144,95,7,311,4,11,36.4,6,1,207,8
João Félix,FW,Portugal,23-031,1999,3.7,153,1,12,66,78,13,153,2,8,25.0,5,0,130,21
João Mário,FW,Portugal,29-326,1993,0.9,52,0,0,24,29,2,52,0,1,0.0,2,0,34,3
João Palhinha,MF,Portugal,27-155,1995,0.4,41,1,9,22,10,1,41,1,2,50.0,2,1,25,1
Joško Gvardiol,DF,Croatia,20-322,2002,5.7,450,64,202,238,15,2,450,1,1,100.0,0,0,308,1
Juan Pablo Vargas,DF,Costa Rica,27-188,1995,1.0,41,13,32,8,1,1,41,0,0,,1,0,14,0
Jude Bellingham,MF,England,19-165,2003,4.6,324,2,44,203,83,14,324,6,13,46.2,8,6,234,30
Jules Koundé,DF,France,24-029,1998,3.0,215,9,78,96,43,2,215,2,3,66.7,1,1,136,0
Julián Álvarez,FW,Argentina,22-314,2000,3.2,110,1,16,36,60,15,110,0,3,0.0,7,4,72,13
Jung Woo-young,MF,Korea Republic,32-362,1989,3.4,239,13,61,150,29,1,239,0,0,,2,2,168,1
Junior Hoilett,FW,Canada,32-189,1990,1.8,78,0,5,35,39,2,78,2,7,28.6,5,2,47,6
Junya Ito,MF,Japan,29-277,1993,3.6,134,6,42,49,46,4,134,2,8,25.0,6,3,68,8
Jurriën Timber,DF,Netherlands,21-177,2001,4.3,361,16,130,226,9,0,361,4,6,66.7,7,2,261,2
Kai Havertz,FW,Germany,23-183,1999,1.1,46,0,1,18,27,11,46,0,0,,4,0,36,7
Kalidou Koulibaly,DF,Senegal,31-174,1991,4.0,260,48,151,108,6,3,260,0,0,,1,1,140,0
Kalvin Phillips,MF,England,27-009,1995,0.5,20,1,8,12,0,0,20,0,0,,0,0,18,1
Kamal Miller,DF,Canada,25-209,1997,3.0,229,18,97,126,6,0,229,1,2,50.0,1,1,173,1
Kamaldeen Sulemana,FW,Ghana,20-299,2002,0.6,28,2,3,5,22,4,28,1,5,20.0,1,1,24,4
Kamil Glik,DF,Poland,34-311,1988,4.0,167,29,92,70,5,4,167,0,0,,0,0,105,0
Kamil Grosicki,MF,Poland,34-186,1988,0.0,6,0,0,2,4,1,6,1,1,100.0,0,0,6,0
Kaoru Mitoma,MF,Japan,25-205,1997,1.8,100,9,42,30,32,4,100,2,5,40.0,5,2,47,3
Karim Ansarifard,FW,IR Iran,32-252,1990,0.4,11,0,1,5,5,2,11,0,0,,2,1,6,1
Karim Boudiaf,MF,Qatar,32-086,1990,2.1,122,4,27,90,7,2,122,1,3,33.3,4,2,83,4
Karl Toko Ekambi,FW,Cameroon,30-088,1992,1.8,66,1,7,38,24,5,66,1,4,25.0,3,4,47,5
Karol Świderski,FW,Poland,25-322,1997,0.5,14,0,3,7,5,0,14,0,0,,3,0,6,0
Kasper Dolberg,FW,Denmark,25-066,1997,1.3,34,1,4,12,19,4,34,1,3,33.3,9,4,27,12
Kasper Schmeichel,GK,Denmark,36-036,1986,3.0,91,73,89,2,0,0,91,0,0,,0,0,42,0
Keanu Baccus,MF,Australia,24-187,1998,1.3,59,0,19,30,10,0,59,0,1,0.0,2,2,31,5
Kellyn Acosta,MF,United States,27-140,1995,0.5,16,0,3,8,5,0,16,0,0,,0,0,10,2
Kendall Waston,DF,Costa Rica,34-344,1988,2.5,107,30,75,28,4,3,107,0,0,,1,1,59,0
Kenneth Taylor,MF,Netherlands,20-209,2002,0.1,9,0,1,6,2,0,9,0,0,,0,0,8,1
Kevin De Bruyne,FW,Belgium,31-166,1991,3.0,163,0,17,74,76,3,163,4,8,50.0,7,4,112,19
Kevin Rodríguez,FW,Ecuador,22-282,2000,0.0,,,,,,,,,,,,,,
Kevin Álvarez,DF,Mexico,23-330,1999,0.8,38,1,10,12,16,2,38,1,3,33.3,0,1,16,2
Keylor Navas,GK,Costa Rica,35-361,1986,3.0,114,108,114,0,0,0,114,0,0,,0,0,33,0
Keysher Fuller,DF,Costa Rica,28-153,1994,2.8,92,11,38,36,19,4,92,1,2,50.0,4,1,47,5
Kieffer Moore,FW,Wales,30-125,1992,2.5,95,8,11,38,46,12,95,0,1,0.0,10,3,71,15
Kieran Trippier,DF,England,32-083,1990,2.3,205,5,53,111,45,1,205,1,1,100.0,1,1,133,4
Kim Jin-su,DF,Korea Republic,30-181,1992,3.5,175,9,50,60,68,10,175,0,2,0.0,4,0,97,8
Kim Min-jae,DF,Korea Republic,26-026,1996,3.0,213,29,91,102,21,3,213,1,1,100.0,1,0,153,1
Kim Moonhwan,DF,Korea Republic,27-132,1995,4.0,289,17,76,118,96,5,289,2,4,50.0,6,2,157,13
Kim Seung-gyu,GK,Korea Republic,32-072,1990,4.0,139,109,139,0,0,0,139,0,0,,0,0,60,0
Kim Young-gwon,DF,Korea Republic,32-287,1990,3.9,232,27,119,107,6,3,232,0,0,,0,0,172,0
Kingsley Coman,FW,France,26-181,1996,1.3,76,3,9,29,41,2,76,4,8,50.0,4,4,61,10
Ko Itakura,DF,Japan,25-318,1997,3.0,150,20,63,80,9,5,150,0,2,0.0,4,1,91,1
Koke,MF,Spain,30-337,1992,0.6,68,0,5,54,9,0,68,0,0,,1,0,60,1
Krystian Bielik,MF,Poland,24-341,1998,2.4,129,13,45,75,10,2,129,1,3,33.3,1,3,77,0
Krzysztof Piątek,FW,Poland,27-163,1995,0.3,9,0,1,6,2,1,9,0,0,,1,1,7,0
Krépin Diatta,FW,Senegal,23-289,1999,2.0,88,0,5,34,51,2,88,1,3,33.3,7,7,76,4
Kudus Mohammed,FW,Ghana,22-131,2000,2.7,118,0,19,45,59,6,118,10,15,66.7,4,6,76,13
Kwon Chang-hoon,FW,Korea Republic,28-164,1994,0.6,28,0,1,14,13,3,28,0,0,,1,1,22,3
Kwon Kyung-won,DF,Korea Republic,30-314,1992,1.0,53,11,30,21,2,0,53,0,0,,0,0,36,0
Kye Rowles,DF,Australia,24-170,1998,4.0,231,43,170,59,2,0,231,0,0,,1,0,147,0
Kyle Walker,DF,England,32-197,1990,2.6,198,3,54,120,27,0,198,2,3,66.7,1,0,129,1
Kylian Mbappé,FW,France,23-356,1998,4.3,251,0,3,70,181,45,251,15,35,42.9,17,9,213,44
Lautaro Martínez,FW,Argentina,25-111,1997,2.5,84,1,7,40,37,13,84,2,5,40.0,8,6,65,17
Lawrence Ati-Zigi,GK,Ghana,26-012,1996,3.0,87,79,87,0,0,0,87,0,0,,0,0,23,0
Leander Dendoncker,DF,Belgium,27-240,1995,1.8,142,17,69,66,8,3,142,0,1,0.0,1,1,111,1
Leandro Paredes,MF,Argentina,28-165,1994,1.6,202,4,34,151,17,0,202,0,1,0.0,1,0,167,1
Leandro Trossard,FW,Belgium,28-007,1994,1.1,66,1,6,34,27,3,66,0,4,0.0,2,1,51,8
Lee Jae-sung,MF,Korea Republic,30-123,1992,2.3,116,3,18,59,40,1,116,2,3,66.7,2,0,83,9
Lee Kangin,MF,Korea Republic,21-295,2001,1.6,91,0,7,43,42,2,91,1,2,50.0,2,3,60,4
Leon Goretzka,MF,Germany,27-308,1995,1.8,72,4,14,33,25,4,72,0,0,,2,2,43,2
Leroy Sané,FW,Germany,26-334,1996,1.2,68,1,3,23,43,7,68,3,6,50.0,0,3,61,9
Liam Millar,DF,Canada,23-075,1999,0.1,9,0,0,3,6,1,9,0,0,,0,0,5,0
Lionel Messi,FW,Argentina,35-170,1987,5.3,328,1,9,152,172,27,325,11,23,47.8,7,12,279,18
Lisandro Martínez,DF,Argentina,24-327,1998,3.0,177,16,79,86,12,1,177,0,1,0.0,1,0,115,0
Lovro Majer,MF,Croatia,24-328,1998,0.6,61,2,11,27,23,2,61,0,1,0.0,1,2,53,7
Loïs Openda,FW,Belgium,22-298,2000,0.1,9,0,0,6,3,0,9,1,1,100.0,2,0,4,1
Lucas Cavallini,FW,Canada,29-348,1992,0.2,3,0,0,2,1,0,3,0,0,,0,0,3,0
Lucas Hernández,DF,France,26-300,1996,0.1,10,0,1,8,1,0,10,0,0,,0,0,6,1
Lucas Paquetá,MF,Brazil,25-106,1997,3.5,229,3,31,131,68,6,229,0,2,0.0,5,4,175,17
Luis Chávez,MF,Mexico,26-330,1996,3.0,171,3,21,97,54,1,171,2,6,33.3,1,2,105,2
Luis Suárez,FW,Uruguay,35-321,1987,1.6,52,2,5,21,26,7,52,2,3,66.7,2,0,40,5
Luka Jović,FW,Serbia,24-353,1997,0.4,14,0,1,2,12,4,14,0,0,,0,1,12,4
Luka Modrić,MF,Croatia,37-093,1985,5.4,450,5,59,285,113,10,450,1,9,11.1,11,7,333,14
Lukas Klostermann,DF,Germany,26-191,1996,0.7,56,1,17,28,12,0,56,0,0,,0,0,35,1
Luke Shaw,DF,England,27-152,1995,4.7,419,6,67,248,107,8,419,2,2,100.0,5,2,306,13
Luuk de Jong,FW,Netherlands,32-106,1990,0.6,19,1,1,10,8,2,19,0,1,0.0,0,2,14,4
Majid Hosseini,DF,IR Iran,26-174,1996,3.0,137,25,91,47,0,0,137,0,0,,1,1,61,0
Manuel Akanji,DF,Switzerland,27-145,1995,4.0,287,41,143,135,10,5,287,0,0,,0,1,214,1
Manuel Neuer,GK,Germany,36-259,1986,3.0,133,103,132,1,0,0,133,0,0,,0,0,88,0
Marcelo Brozović,MF,Croatia,30-025,1992,5.6,539,23,125,346,71,3,539,2,7,28.6,5,4,401,15
Marco Asensio,FW,Spain,26-324,1996,2.5,150,1,4,56,90,13,150,0,3,0.0,12,3,128,19
Marcos Acuña,DF,Argentina,31-044,1991,3.5,229,4,67,84,81,9,229,2,6,33.3,6,1,137,11
Marcos Llorente,DF,Spain,27-315,1995,1.3,107,0,11,70,29,1,107,0,0,,1,0,76,3
Marcus Rashford,FW,England,25-041,1997,1.6,92,1,6,43,44,13,92,5,9,55.6,4,1,71,16
Marcus Thuram,FW,France,25-127,1997,0.5,20,0,3,8,9,1,20,2,3,66.7,3,3,15,2
Mario Götze,MF,Germany,30-191,1992,0.4,31,0,4,7,20,6,31,0,2,0.0,2,0,18,5
Mario Pašalić,FW,Croatia,27-305,1995,2.2,102,6,23,62,19,5,102,0,3,0.0,6,2,66,11
Mark-Anthony Kaye,MF,Canada,28-009,1994,0.7,68,0,10,49,9,0,68,0,0,,0,0,57,2
Marko Grujić,MF,Serbia,26-242,1996,0.1,20,2,4,11,5,0,20,0,1,0.0,0,0,14,1
Marko Livaja,FW,Croatia,29-107,1993,1.7,55,1,3,24,28,11,55,0,0,,5,1,42,14
Marquinhos,DF,Brazil,28-211,1994,4.7,391,30,137,237,18,6,391,1,1,100.0,2,0,309,2
Marten de Roon,MF,Netherlands,31-257,1991,2.0,142,6,32,98,12,0,142,0,0,,1,0,97,0
Martin Braithwaite,FW,Denmark,31-189,1991,1.1,24,0,1,10,13,3,24,1,2,50.0,2,1,19,4
Martin Hongla,MF,Cameroon,24-270,1998,1.3,73,4,17,45,12,1,73,2,3,66.7,0,0,53,3
Martinelli,FW,Brazil,21-176,2001,1.3,70,0,9,20,42,14,70,3,10,30.0,4,2,52,14
Martín Cáceres,DF,Uruguay,35-248,1987,1.0,83,3,21,49,13,0,83,1,1,100.0,1,0,60,1
Mason Mount,MF,England,23-335,1999,2.1,91,0,5,48,39,2,91,2,3,66.7,6,2,71,12
Mateo Kovačić,MF,Croatia,28-219,1994,5.1,343,5,57,211,82,12,343,4,10,40.0,8,4,259,11
Matheus Nunes,MF,Portugal,24-106,1998,0.8,39,0,6,13,21,3,39,1,2,50.0,4,1,34,2
Mathew Leckie,MF,Australia,31-310,1991,3.7,157,8,16,85,57,8,157,1,11,9.1,15,7,110,14
Mathew Ryan,GK,Australia,30-247,1992,4.0,176,143,175,1,0,0,176,0,0,,0,0,78,0
Mathias Jensen,MF,Denmark,26-344,1996,0.9,76,0,9,47,20,3,76,1,1,100.0,2,0,60,6
Mathías Olivera,DF,Uruguay,25-041,1997,2.8,178,12,64,62,52,3,178,0,3,0.0,7,2,74,7
Matt Turner,GK,United States,28-170,1994,4.0,137,112,137,0,0,0,137,0,0,,0,0,69,0
Matthias Ginter,DF,Germany,28-326,1994,0.0,3,0,2,1,0,0,3,0,0,,0,0,3,0
Matthijs de Ligt,DF,Netherlands,23-121,1999,1.0,49,2,20,27,2,1,49,0,0,,0,1,35,1
Matty Cash,DF,Poland,25-126,1997,4.0,197,20,58,95,45,1,197,1,4,25.0,3,2,111,3
Mattéo Guendouzi,FW,France,23-241,1999,0.9,36,1,5,22,10,1,36,0,0,,0,1,24,2
Matías Vecino,MF,Uruguay,31-109,1991,2.2,130,5,41,73,17,2,130,0,0,,3,1,81,2
Matías Viña,DF,Uruguay,25-032,1997,0.2,26,0,8,12,6,0,26,1,1,100.0,0,1,13,5
Maxi Gómez,FW,Uruguay,26-119,1996,0.3,9,0,0,2,7,0,9,0,0,,0,0,8,1
Maya Yoshida,DF,Japan,34-109,1988,4.3,277,46,129,147,2,1,277,1,2,50.0,1,1,184,0
Mehdi Taremi,FW,IR Iran,30-146,1992,3.0,123,4,19,63,47,15,122,1,9,11.1,7,5,79,16
Mehdi Torabi,MF,IR Iran,28-092,1994,0.7,48,4,8,29,12,2,48,1,2,50.0,2,0,30,1
Memphis,FW,Netherlands,28-301,1994,3.3,165,0,6,82,79,16,165,2,11,18.2,10,7,138,34
Meshaal Barsham,GK,Qatar,24-300,1998,2.0,69,61,69,0,0,0,69,0,0,,0,0,29,0
Michael Estrada,FW,Ecuador,26-248,1996,2.5,71,1,2,46,23,7,71,2,3,66.7,6,2,59,9
Michał Skóraś,MF,Poland,22-299,2000,0.5,12,1,1,8,3,0,12,0,1,0.0,0,0,9,3
Michel Aebischer,MF,Switzerland,25-339,1997,0.2,4,0,0,2,2,0,4,0,0,,0,0,4,1
Michy Batshuayi,FW,Belgium,29-070,1993,1.7,42,0,0,24,18,6,42,1,3,33.3,5,4,34,10
Miki Yamane,DF,Japan,28-354,1993,0.7,36,0,3,21,13,1,36,1,1,100.0,0,0,13,1
Mikkel Damsgaard,MF,Denmark,22-161,2000,1.7,91,1,11,54,26,2,91,0,2,0.0,2,2,62,9
Milad Mohammadi,DF,IR Iran,29-073,1993,2.2,90,8,41,36,15,0,90,0,1,0.0,1,2,33,0
Milan Borjan,GK,Canada,35-049,1987,3.0,105,82,103,1,1,0,105,0,0,,1,0,42,0
Miloš Degenek,DF,Australia,28-227,1994,2.0,123,15,67,44,15,0,123,0,2,0.0,1,1,57,1
Miloš Veljković,DF,Serbia,27-076,1995,2.5,127,22,78,50,1,0,127,0,0,,0,0,91,0
Mislav Oršić,FW,Croatia,29-347,1992,0.3,17,0,3,5,9,4,17,1,1,100.0,1,0,12,2
Mitchell Duke,FW,Australia,31-327,1991,3.0,96,0,11,47,40,11,96,1,2,50.0,11,1,61,5
Mohamed Ali Ben Romdhane,MF,Tunisia,23-096,1999,0.8,31,1,5,18,10,3,31,1,3,33.3,0,5,15,3
Mohamed Dräger,DF,Tunisia,26-169,1996,1.5,70,4,25,27,20,3,70,1,2,50.0,5,0,33,3
Mohamed Kanno,MF,Saudi Arabia,28-080,1994,3.0,184,10,31,109,48,6,184,5,10,50.0,6,1,117,7
Mohammed Al-Breik,DF,Saudi Arabia,30-087,1992,0.7,57,3,15,22,20,2,57,0,0,,1,0,38,2
Mohammed Al-Owais,GK,Saudi Arabia,31-062,1991,3.0,113,87,111,3,0,0,113,0,0,,0,0,25,0
Mohammed Muntari,FW,Qatar,28-356,1993,0.7,28,2,5,18,5,3,28,0,0,,1,0,22,0
Mohammed Salisu,DF,Ghana,23-238,1999,3.0,184,27,102,72,11,6,184,0,0,,1,1,114,1
Mohammed Waad,MF,Qatar,23-084,1999,0.3,16,0,5,8,3,0,16,1,1,100.0,1,0,12,0
Moisés Caicedo,MF,Ecuador,21-039,2001,3.0,173,4,29,121,23,3,173,0,0,,3,1,117,1
Montassar Talbi,DF,Tunisia,24-199,1998,3.0,177,24,97,77,3,1,177,0,1,0.0,1,1,96,0
Morteza Pouraliganji,DF,IR Iran,30-236,1992,3.0,156,19,86,60,10,4,156,0,0,,1,0,84,3
Moumi Ngamaleu,FW,Cameroon,28-155,1994,1.1,34,0,6,12,18,5,34,2,4,50.0,2,3,26,9
Munir,GK,Morocco,33-215,1989,1.0,31,29,31,0,0,0,31,0,0,,0,0,8,0
Musab Kheder,DF,Qatar,29-076,1993,0.1,5,0,2,2,1,0,5,0,0,,1,0,3,1
Na Sang-ho,FW,Korea Republic,26-121,1996,1.3,60,1,4,15,41,4,60,0,4,0.0,4,4,40,8
Nader Ghandri,DF,Tunisia,27-296,1995,1.0,45,10,33,12,0,0,45,0,0,,0,0,22,0
Nahuel Molina,DF,Argentina,24-249,1998,4.4,292,8,77,146,71,5,292,1,2,50.0,3,3,190,17
Nampalys Mendy,MF,Senegal,30-171,1992,3.0,182,5,42,111,31,1,182,1,1,100.0,4,0,122,2
Nasser Al-Dawsari,FW,Saudi Arabia,23-357,1998,0.1,13,1,3,6,4,0,13,0,0,,0,1,10,1
Nathan Aké,DF,Netherlands,27-296,1995,5.3,393,29,166,211,16,1,393,0,2,0.0,1,0,289,2
Nathaniel Atkinson,DF,Australia,23-181,1999,0.9,43,4,15,21,7,0,43,0,2,0.0,0,3,18,2
Nawaf Al Abed,MF,Saudi Arabia,32-319,1990,1.0,51,0,1,23,28,4,51,1,2,50.0,6,5,41,6
Nayef Aguerd,DF,Morocco,26-256,1996,3.9,185,41,132,53,1,1,185,0,0,,1,0,118,0
Naïm Sliti,MF,Tunisia,30-137,1992,1.3,67,0,5,26,37,4,67,5,8,62.5,4,1,39,4
Neco Williams,DF,Wales,21-242,2001,2.3,138,4,35,66,40,5,138,1,7,14.3,6,2,60,3
Nemanja Gudelj,MF,Serbia,31-025,1991,1.0,59,2,22,32,5,0,59,0,0,,2,2,42,1
Nemanja Maksimović,MF,Serbia,27-319,1995,1.4,75,3,17,46,12,1,75,0,0,,2,1,41,2
Nemanja Radonjić,DF,Serbia,26-299,1996,0.7,36,1,9,8,19,1,36,0,5,0.0,2,1,21,1
Neymar,MF,Brazil,30-309,1992,3.1,203,0,11,101,94,15,202,6,23,26.1,8,12,167,21
Niclas Füllkrug,FW,Germany,29-305,1993,0.8,38,0,0,14,24,13,38,1,1,100.0,2,0,27,13
Nico Elvedi,DF,Switzerland,26-072,1996,2.0,165,26,93,69,3,1,165,0,0,,1,0,114,0
Nico Schlotterbeck,DF,Germany,23-010,1999,1.0,135,8,46,80,10,0,135,0,2,0.0,1,1,101,2
Nico Williams,FW,Spain,20-152,2002,1.6,88,0,5,38,47,4,88,5,16,31.3,9,2,69,10
Nicola Zalewski,MF,Poland,20-322,2002,0.7,29,1,8,11,12,0,29,0,2,0.0,3,1,18,2
Nicolas Jackson,FW,Senegal,21-174,2001,0.2,11,0,5,2,4,1,11,0,0,,1,0,9,2
